Published,Year,Quarter,Earnings,Sales
2013-05-02,2013,1,-40837883,9310313
2013-07-30,2013,2,-13222299,61366796
2013-10-29,2013,3,107699001,214207984
2014-04-25,2013,4,-52904702,11350774
2014-04-29,2014,1,-38572197,7913339
2014-07-29,2014,2,-12080056,71289588
2014-10-29,2014,3,113099038,224349417
2015-02-13,2014,4,-71620416,11146427
2015-04-29,2015,1,-41363432,11712148
2015-07-30,2015,2,-2279970,83074270
2015-10-22,2015,3,135638977,257897922
2016-02-09,2015,4,-73127216,9798425
2016-04-30,2016,1,-39338974,13822659
2016-07-30,2016,2,-24644822,78153377
2016-10-31,2016,3,166654324.52,312060986
2017-03-22,2016,4,-216378928.52,31833727
2017-04-28,2017,1,-32758686.4877462,62580617.0608256
2017-07-31,2017,2,11338960.9508551,175134493.988223
2017-10-31,2017,3,158665199.536891,400771434.950951
2018-02-28,2017,4,-49162848.2974275,73497280.7541537
2018-04-30,2018,1,-34023791,72847427
2018-07-31,2018,2,13124028,183760286
2018-10-31,2018,3,159050439,418181405
2019-02-28,2018,4,-49483649,69912920
2019-04-30,2019,1,-38598398,72383531
2019-07-31,2019,2,29680747,192415297
2019-10-31,2019,3,196966358,421442978
2020-02-27,2019,4,-39072670,87929736
2020-04-28,2020,1,-46228112,55119556
2020-07-28,2020,2,-78762622,22931057
2020-10-28,2020,3,15293024,147810089
2021-02-25,2020,4,-117585020,8821113
2021-04-29,2021,1,-66941294,7994673
2021-07-29,2021,2,-36728723,46859518
2021-10-28,2021,3,173300119,356527127
2022-02-28,2021,4,-38115796,43056801
2022-04-28,2022,1,-78954491,42307723
2022-07-28,2022,2,-9207054,180888641
2022-10-27,2022,3,220927874,508990943
